任务,特征方案,模型,split,target,r2,rmse,mae
任务1_品质预测,R210+S960双光谱,K近邻回归,测试集,titration_VC,0.30417290532247243,6.095521959972145,4.473568625201795
任务1_品质预测,R210+S960双光谱,K近邻回归,测试集,titration_糖度,0.5716559847509872,0.972662541901862,0.7041212941432173
任务1_品质预测,R210+S960双光谱,K近邻回归,测试集,titration_糖酸比,0.22734261622639496,3.2695981927214595,2.6142728098541586
任务1_品质预测,R210+S960双光谱,K近邻回归,测试集,titration_酸度,-0.012073111607450171,0.1304249663278474,0.09829732632254501
任务1_品质预测,R210+S960双光谱,K近邻回归,验证集,titration_VC,0.40910855450860795,6.830588444118597,4.859729744065999
任务1_品质预测,R210+S960双光谱,K近邻回归,验证集,titration_糖度,0.44098037268288115,1.1479952272065104,0.8971988576554539
任务1_品质预测,R210+S960双光谱,K近邻回归,验证集,titration_糖酸比,0.277938011382449,3.1716109802904073,2.4293032970861366
任务1_品质预测,R210+S960双光谱,K近邻回归,验证集,titration_酸度,-0.043551615144667766,0.12423370089396103,0.09423101936422507
任务1_品质预测,R210+S960双光谱,LightGBM回归,测试集,titration_VC,0.30224701064108683,6.103951655846656,4.7033126725615775
任务1_品质预测,R210+S960双光谱,LightGBM回归,测试集,titration_糖度,0.5027041622737487,1.0480288827344866,0.8352171416495165
任务1_品质预测,R210+S960双光谱,LightGBM回归,测试集,titration_糖酸比,0.07269227556846614,3.5818949423556137,2.8613333187442582
任务1_品质预测,R210+S960双光谱,LightGBM回归,测试集,titration_酸度,-0.1214012569569698,0.13728886326508247,0.10805676138073998
任务1_品质预测,R210+S960双光谱,LightGBM回归,验证集,titration_VC,0.357456298374786,7.122879596455771,5.213590194574312
任务1_品质预测,R210+S960双光谱,LightGBM回归,验证集,titration_糖度,0.4770952624864295,1.1102936157158751,0.8367989415989143
任务1_品质预测,R210+S960双光谱,LightGBM回归,验证集,titration_糖酸比,0.24356458946590542,3.2462248403536385,2.6728068943724614
任务1_品质预测,R210+S960双光谱,LightGBM回归,验证集,titration_酸度,-0.10659894329526232,0.12793152627831336,0.09935477491635411
任务1_品质预测,R210+S960双光谱,PLS回归,测试集,titration_VC,0.1409398122479837,6.77285891091007,5.034734909535521
任务1_品质预测,R210+S960双光谱,PLS回归,测试集,titration_糖度,0.6377462629045209,0.8944833823019085,0.7003248007735672
