实验方案,参数组合,验证集平均R2,测试集平均R2,验证集平均RMSE,验证集平均MAE,耗时(秒)
路线1: SNV_Ridge完整参数搜索,ridge__alpha: 50.0,0.34523254568347994,0.29118819607768853,2.659091023547655,1.9751316457677848,0.09
路线1: SNV_PLS主成分回归搜索,pls__n_components: 10,0.3421651319453959,0.29421473179047886,2.656785983537916,2.0126096565938383,0.14
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 80, ridge__alpha: 100.0",0.3411736421691306,0.27943896872043006,2.6852052749752615,1.9933711762267132,0.18
路线1: SNV_Ridge完整参数搜索,ridge__alpha: 100.0,0.34110072433074257,0.2797454773280561,2.685096845049957,1.9930154030234304,0.03
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 50, ridge__alpha: 100.0",0.34097572178154634,0.27935281889463237,2.685413369206713,1.9934498975495902,0.1
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 30, ridge__alpha: 100.0",0.3408659250260206,0.27937578080749886,2.6857952890368972,1.993655836401048,0.06
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 20, ridge__alpha: 100.0",0.340501983874661,0.28007564603740187,2.684741905957141,1.9943724824020024,0.04
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 80, ridge__alpha: 10.0",0.33897909832900275,0.2950525865109379,2.665004581978584,1.9953367553988155,0.3
路线1: SNV_Ridge完整参数搜索,ridge__alpha: 10.0,0.3381142890177603,0.29830764801207277,2.6640206981320182,1.9930889883953506,0.04
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 50, ridge__alpha: 10.0",0.33731178350577296,0.2942663217467296,2.666728695993568,1.9968232114850197,0.07
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 30, ridge__alpha: 10.0",0.33653317042766123,0.29433876214494276,2.6696160034697285,1.997569894227689,0.05
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 20, ridge__alpha: 10.0",0.3356416015731206,0.30007014169883894,2.659349480261064,1.9971926727140827,0.05
路线1: SNV_PLS主成分回归搜索,pls__n_components: 15,0.3297447834428011,0.2802441254949401,2.7661492305810578,2.0636953775246347,0.14
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 10, ridge__alpha: 0.1",0.3282838301874784,0.2656121279708442,2.700405492933222,2.0345978688852147,0.03
