实验方案,参数组合,验证集平均R2,测试集平均R2,验证集平均RMSE,测试集平均RMSE,耗时(秒)
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 80, ridge__alpha: 10.0",0.7104434246408982,0.680296422544568,42.67096210585876,45.18932395371691,0.22
路线1: SNV_Ridge完整参数搜索,ridge__alpha: 10.0,0.7104401705478964,0.6816978783631524,42.45748552859395,45.154012543818915,0.03
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 50, ridge__alpha: 10.0",0.710082310601786,0.680485786086006,42.73679519361462,45.275586579842134,0.33
路线1: SNV_PLS主成分回归搜索,pls__n_components: 25,0.7094582543727161,0.6608488448253231,37.525826058874486,44.766684450435235,0.18
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 80, ridge__alpha: 1.0",0.7091519632685395,0.6910540057025611,40.906244199525894,42.878062525212336,0.32
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 50, ridge__alpha: 1.0",0.7087045760360223,0.6936203287838293,41.22845943902548,43.20546328409172,0.16
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 30, ridge__alpha: 10.0",0.7082008244343512,0.6780850493894724,42.99256332759432,45.37757409607659,0.16
路线1: SNV_PLS主成分回归搜索,pls__n_components: 20,0.706104275406031,0.661279285351215,36.77963998122624,42.60558105641274,0.14
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 20, ridge__alpha: 10.0",0.7055171155620115,0.6685590944313976,43.605569233739445,45.75481125027874,0.06
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 50, ridge__alpha: 0.1",0.7048108891719589,0.6975103210498856,40.98268399279831,43.12367995784905,0.15
路线1: SNV_Ridge完整参数搜索,ridge__alpha: 1.0,0.7035548493815914,0.6970518792285781,39.31851245166252,42.65861045516301,0.04
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 30, ridge__alpha: 1.0",0.7015986555186694,0.6839870479944341,42.346920520957,43.48843601400409,0.92
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 80, ridge__alpha: 0.1",0.7014954396303407,0.6879769952334281,40.60976003824083,42.72040292381929,0.53
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 20, ridge__alpha: 1.0",0.7005693041414452,0.6612999283398957,43.32737745013567,44.09693838883331,0.1
路线1: SNV_PLS主成分回归搜索,pls__n_components: 15,0.7004421790635456,0.6609310140981332,40.3608257565887,43.62129479812806,0.12
路线1: SNV_Ridge完整参数搜索,ridge__alpha: 50.0,0.698665722558997,0.66228089096578,47.02483190937569,50.20203299295156,0.03
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 20, ridge__alpha: 0.1",0.6985700599857337,0.6586704593875851,43.423016744098724,43.88529509907841,0.08
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 30, ridge__alpha: 0.1",0.6960735230158615,0.684754576339725,42.5636338867197,43.445530020264336,0.11
路线1: SNV_PLS主成分回归搜索,pls__n_components: 30,0.6863316902326898,0.6504174130465815,38.715718488880476,45.39453204650592,0.28
路线1: SNV_Ridge完整参数搜索,ridge__alpha: 100.0,0.6839885029736636,0.6439054049500402,51.045415253613584,54.58078075306062,0.03
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 80, ridge__alpha: 100.0",0.6839867479779206,0.643766185535108,51.06439131401475,54.5828992280094,0.34
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 50, ridge__alpha: 100.0",0.6839545810920956,0.6437839760085189,51.06841270318685,54.59332227645361,0.23
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 30, ridge__alpha: 100.0",0.6837295548650482,0.6434914834011309,51.09285357426188,54.609164203744896,0.23
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 20, ridge__alpha: 100.0",0.6831427376936829,0.6420859442218274,51.183429333768295,54.65583375461117,0.07
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 10, ridge__alpha: 10.0",0.6572399731405288,0.6082294805922154,54.37062671072777,54.988054422972546,0.18
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 10, ridge__alpha: 1.0",0.6571720975409153,0.6087423124705902,54.39968872215722,54.897495725794734,0.14
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 10, ridge__alpha: 0.1",0.657145494216356,0.6087785056462721,54.408569645700325,54.89563912145843,0.29
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 10, ridge__alpha: 100.0",0.64823254158538,0.5964741459372803,56.78431026838216,58.907253747220835,0.06
路线1: SNV_Ridge完整参数搜索,ridge__alpha: 0.1,0.6360761270118903,0.6633182733068571,38.2371695794229,43.80276307590551,0.04
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 80, ridge__alpha: 500.0",0.6131919805184857,0.56991784393094,65.16824735183222,70.68677526166309,0.36
路线1: SNV_Ridge完整参数搜索,ridge__alpha: 500.0,0.6131897931495266,0.569943875583914,65.16496545433687,70.68654417312908,0.03
路线2: SNV_PCA降维_Ridge搜索,"pca__n_components: 50, ridge__alpha: 500.0",0.6131862985803157,0.5699199974310467,65.1690176153544,70.6887714643783,0.23
