sample_number,cm_sample_id,qz_sample_id,identical_across_300_bands
1,CM-1,QZ-1,True
2,CM-2,QZ-2,True
3,CM-3,QZ-3,True
4,CM-4,QZ-4,True
5,CM-5,QZ-5,True
6,CM-6,QZ-6,True
7,CM-7,QZ-7,True
8,CM-8,QZ-8,True
9,CM-9,QZ-9,True
10,CM-10,QZ-10,True
11,CM-11,QZ-11,True
12,CM-12,QZ-12,True
13,CM-13,QZ-13,True
14,CM-14,QZ-14,True
15,CM-15,QZ-15,True
16,CM-16,QZ-16,True
17,CM-17,QZ-17,True
18,CM-18,QZ-18,True
19,CM-19,QZ-19,True
20,CM-20,QZ-20,True
21,CM-21,QZ-21,True
22,CM-22,QZ-22,True
23,CM-23,QZ-23,True
24,CM-24,QZ-24,True
25,CM-25,QZ-25,True
26,CM-26,QZ-26,True
27,CM-27,QZ-27,True
28,CM-28,QZ-28,True
29,CM-29,QZ-29,True
30,CM-30,QZ-30,True
31,CM-31,QZ-31,True
32,CM-32,QZ-32,True
33,CM-33,QZ-33,True
35,CM-35,QZ-35,True
36,CM-36,QZ-36,True
37,CM-37,QZ-37,True
38,CM-38,QZ-38,True
39,CM-39,QZ-39,True
40,CM-40,QZ-40,True
41,CM-41,QZ-41,True
42,CM-42,QZ-42,True
43,CM-43,QZ-43,True
44,CM-44,QZ-44,True
45,CM-45,QZ-45,True
46,CM-46,QZ-46,True
47,CM-47,QZ-47,True
48,CM-48,QZ-48,True
49,CM-49,QZ-49,True
50,CM-50,QZ-50,True
51,CM-51,QZ-51,True
52,CM-52,QZ-52,True
53,CM-53,QZ-53,True
54,CM-54,QZ-54,True
55,CM-55,QZ-55,True
56,CM-56,QZ-56,True
57,CM-57,QZ-57,True
58,CM-58,QZ-58,True
59,CM-59,QZ-59,True
60,CM-60,QZ-60,True
61,CM-61,QZ-61,True
62,CM-62,QZ-62,True
63,CM-63,QZ-63,True
64,CM-64,QZ-64,True
65,CM-65,QZ-65,True
66,CM-66,QZ-66,True
67,CM-67,QZ-67,True
68,CM-68,QZ-68,True
69,CM-69,QZ-69,True
70,CM-70,QZ-70,True
71,CM-71,QZ-71,True
72,CM-72,QZ-72,True
73,CM-73,QZ-73,True
74,CM-74,QZ-74,True
75,CM-75,QZ-75,True
76,CM-76,QZ-76,True
77,CM-77,QZ-77,True
78,CM-78,QZ-78,True
79,CM-79,QZ-79,True
80,CM-80,QZ-80,True
81,CM-81,QZ-81,True
82,CM-82,QZ-82,True
83,CM-83,QZ-83,True
84,CM-84,QZ-84,True
85,CM-85,QZ-85,True
86,CM-86,QZ-86,True
87,CM-87,QZ-87,True
88,CM-88,QZ-88,True
89,CM-89,QZ-89,True
90,CM-90,QZ-90,True
91,CM-91,QZ-91,True
92,CM-92,QZ-92,True
93,CM-93,QZ-93,True
94,CM-94,QZ-94,True
95,CM-95,QZ-95,True
96,CM-96,QZ-96,True
97,CM-97,QZ-97,True
98,CM-98,QZ-98,True
99,CM-99,QZ-99,True
100,CM-100,QZ-100,True
101,CM-101,QZ-101,True
102,CM-102,QZ-102,True
103,CM-103,QZ-103,True
104,CM-104,QZ-104,True
105,CM-105,QZ-105,True
106,CM-106,QZ-106,True
107,CM-107,QZ-107,True
108,CM-108,QZ-108,True
109,CM-109,QZ-109,True
110,CM-110,QZ-110,True
111,CM-111,QZ-111,True
112,CM-112,QZ-112,True
113,CM-113,QZ-113,True
114,CM-114,QZ-114,True
115,CM-115,QZ-115,True
116,CM-116,QZ-116,True
117,CM-117,QZ-117,True
118,CM-118,QZ-118,True
119,CM-119,QZ-119,True
120,CM-120,QZ-120,True
121,CM-121,QZ-121,True
122,CM-122,QZ-122,True
123,CM-123,QZ-123,True
124,CM-124,QZ-124,True
125,CM-125,QZ-125,True
126,CM-126,QZ-126,True
127,CM-127,QZ-127,True
128,CM-128,QZ-128,True
129,CM-129,QZ-129,True
130,CM-130,QZ-130,True
131,CM-131,QZ-131,True
132,CM-132,QZ-132,True
133,CM-133,QZ-133,True
134,CM-134,QZ-134,True
135,CM-135,QZ-135,True
136,CM-136,QZ-136,True
137,CM-137,QZ-137,True
138,CM-138,QZ-138,True
139,CM-139,QZ-139,True
140,CM-140,QZ-140,True
141,CM-141,QZ-141,True
142,CM-142,QZ-142,True
143,CM-143,QZ-143,True
144,CM-144,QZ-144,True
145,CM-145,QZ-145,True
146,CM-146,QZ-146,True
147,CM-147,QZ-147,True
148,CM-148,QZ-148,True
149,CM-149,QZ-149,True
150,CM-150,QZ-150,True
151,CM-151,QZ-151,True
152,CM-152,QZ-152,True
153,CM-153,QZ-153,True
154,CM-154,QZ-154,True
155,CM-155,QZ-155,True
156,CM-156,QZ-156,True
157,CM-157,QZ-157,True
158,CM-158,QZ-158,True
159,CM-159,QZ-159,True
160,CM-160,QZ-160,True
161,CM-161,QZ-161,True
162,CM-162,QZ-162,True
